# Iteration Pressure Kinetic Potential Temperature Total
379 -0.37723204 1.0230826 -4.6946814 0.68205507 -3.6715988
380 -0.27160232 0.99739454 -4.6689861 0.66492969 -3.6715916
381 -0.18145518 0.97667815 -4.6482632 0.65111877 -3.6715851
382 -0.13818644 0.97150231 -4.6430857 0.64766821 -3.6715834
383 -0.15292651 0.98431352 -4.6559005 0.65620901 -3.6715869
384 -0.2120709 1.0093819 -4.6809761 0.67292127 -3.6715944
385 -0.27897622 1.0369631 -4.708564 0.69130873 -3.6716009
386 -0.32307849 1.0560712 -4.7276746 0.70404747 -3.6716034
387 -0.32090345 1.0609221 -4.7325221 0.7072814 -3.6716
388 -0.28615769 1.0553898 -4.7269832 0.7035932 -3.6715934
389 -0.24631082 1.0478776 -4.7194669 0.69858507 -3.6715893
390 -0.21649783 1.0428432 -4.7144346 0.6952288 -3.6715914
391 -0.18933949 1.0381848 -4.7097784 0.6921232 -3.6715936
392 -0.15711819 1.030802 -4.7023944 0.68720133 -3.6715924
393 -0.12521114 1.0221899 -4.6937799 0.68145993 -3.67159
394 -0.098059793 1.0149719 -4.6865644 0.67664793 -3.6715925
395 -0.074232825 1.0070742 -4.678672 0.6713828 -3.6715979
396 -0.041188109 0.99419398 -4.6657912 0.66279599 -3.6715972
397 -0.0071264185 0.97777556 -4.6493669 0.65185037 -3.6715913
398 -0.0040305881 0.96742639 -4.6390106 0.64495093 -3.6715842
399 -0.044829169 0.97116602 -4.6427531 0.64744401 -3.6715871
400 -0.12499509 0.98650981 -4.6581001 0.65767321 -3.6715904
401 -0.2208736 1.0065952 -4.678185 0.67106347 -3.6715899
